,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
52,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,-1
53,-2,2,2,2,2,2,2,2,2,2,2,-1,2,2,-1
54,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,-1
55,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
56,2,2,2,-2,2,2,2,2,2,2,2,1,1,2,-1
57,-2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1
58,2,-2,-2,-2,2,2,2,2,1,2,2,1,2,2,-1
59,2,-1,2,-1,-1,-2,2,2,-1,-2,2,2,2,2,2
60,2,2,2,-1,-2,2,2,2,2,2,2,-1,-1,-1,2
61,2,2,2,-1,2,2,2,-1,2,-2,-2,2,2,-1,2
62,2,2,-1,2,2,2,2,2,-2,-2,2,2,2,2,-1
63,2,2,1,1,2,2,2,-1,-1,2,2,2,2,2,2
64,2,2,2,2,2,2,-1,2,-2,2,-2,1,2,2,2
65,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2
66,2,2,2,2,2,2,-1,-1,-2,2,-2,-2,2,2,2
67,2,2,2,2,1,2,-1,2,2,2,2,2,2,-1,2
68,2,2,2,2,2,2,2,-2,-2,2,2,-2,2,-2,-2
69,2,-2,2,2,-2,2,2,2,-2,-2,2,-2,2,2,2
70,-2,2,1,2,2,2,2,-1,-1,-1,-1,-1,-1,2,2
71,-2,1,2,2,2,2,2,-1,2,-1,-1,-1,-1,2,-1
72,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1
73,2,2,2,2,1,2,2,2,2,2,2,2,2,2,-2
74,-2,-2,2,2,2,2,2,2,2,2,2,2,2,-1,-1
75,-2,2,2,2,-2,2,-2,-1,-1,2,2,2,2,2,2
76,2,1,2,2,-1,2,2,1,2,2,2,2,2,2,2
77,2,2,-2,-2,-1,2,2,2,1,2,2,2,1,1,2
78,2,2,2,-2,-1,2,2,1,1,1,2,1,-1,2,2
79,2,2,-2,-1,-1,2,2,2,2,2,2,-1,2,-1,2
80,1,2,2,2,2,-1,-1,2,-1,2,-2,-2,-2,2,2
81,-2,2,2,-1,-1,2,2,2,-2,1,2,2,2,2,2
82,-1,2,-2,2,2,2,2,2,2,2,2,-2,2,-2,-2
83,2,2,2,-1,-2,-2,-2,2,2,2,2,2,2,2,2
84,1,2,-1,-2,-2,2,2,2,2,2,2,2,2,2,2
85,-1,2,2,-1,2,2,2,2,2,2,2,2,2,2,2
86,-1,-1,2,-1,-2,2,2,-2,2,2,2,2,2,2,2
87,2,2,2,2,2,2,2,2,2,2,1,1,1,1,-1
88,-2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
89,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
90,2,2,2,2,2,2,2,2,2,1,1,1,2,2,-1
91,1,2,2,2,2,2,1,2,2,2,1,2,1,-1,-2
92,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2
93,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
94,-2,2,2,2,2,1,-1,-2,2,2,2,2,2,2,2
95,1,2,2,2,2,1,-1,-1,-2,2,2,2,2,2,2
96,2,2,2,2,2,-1,2,-1,2,-2,-2,-2,-2,2,2
97,-1,2,2,2,2,2,-1,2,2,2,2,2,2,1,1
98,2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,-1,2
99,2,2,1,2,2,2,2,1,1,2,-2,2,-1,2,2
100,2,2,2,2,2,1,2,1,2,2,-2,2,2,2,2
101,2,2,2,2,2,-2,2,2,2,-2,2,2,-2,2,2
102,2,2,2,2,2,2,2,2,-1,2,-1,2,-2,2,2
103,2,2,2,2,2,1,2,2,2,2,2,2,-2,-1,-1
104,-1,-1,2,-1,-1,2,-1,2,2,2,2,-2,-1,-1,-1
105,-2,-2,2,-2,-1,2,2,2,2,2,2,-2,2,-1,2
106,-2,-2,-2,-1,2,2,2,2,1,2,2,2,2,2,-2
107,1,2,2,2,2,-2,2,2,2,2,2,2,2,2,-1
108,-2,2,-2,2,-1,-1,-1,2,2,2,2,2,2,2,2
109,2,-2,2,2,2,-1,2,2,-1,-1,2,2,1,1,2
110,2,2,-2,-2,-2,-1,2,2,2,2,2,2,2,2,2
111,2,2,2,2,-2,-1,-1,2,2,2,2,2,2,2,2
112,2,2,2,-2,-1,-1,-1,-2,2,1,2,1,-2,-1,2
113,2,-2,-1,2,2,2,2,2,-2,2,2,2,2,2,2
114,2,2,2,2,2,2,-2,2,-2,2,-2,-1,2,2,2
115,-1,-1,2,2,2,2,-1,2,-2,2,-1,2,2,2,-2
116,-1,2,2,-2,2,2,2,2,-2,-1,-1,-1,-1,2,-2
117,-1,-1,2,2,2,2,2,2,2,2,2,2,-2,2,2
118,-1,2,2,2,2,1,2,2,2,2,2,2,-2,2,-2
119,2,2,-2,2,2,2,-1,2,2,2,2,-1,2,2,2
120,-2,2,1,2,2,2,2,2,2,-2,-2,-2,2,2,-1
121,2,2,1,2,2,2,-2,2,2,-1,-1,2,2,2,2
122,-2,-2,-1,2,2,2,-1,2,2,-1,2,2,2,2,-1
123,-2,2,2,-2,-2,2,1,2,2,-2,1,2,1,2,-1
124,-1,-1,-1,2,-1,2,2,2,2,2,2,2,2,-1,-1
125,1,2,2,2,2,2,2,2,2,-2,2,2,2,-1,2
126,2,-1,-1,2,-2,-2,-1,-1,1,2,-1,2,2,2,2
127,-2,-2,2,2,2,2,-1,2,1,2,2,-1,2,2,2
128,2,2,2,-2,2,2,-1,-1,-1,2,2,2,2,2,2
129,2,2,-1,2,-1,2,-1,2,2,-1,-1,2,2,2,-2
130,2,2,2,2,2,2,-1,2,2,-2,2,-2,2,-2,1
131,2,2,2,2,2,2,-1,-1,2,2,2,-1,-1,-2,2
132,2,2,2,1,1,2,2,-2,-2,-1,2,2,2,2,2
133,2,2,2,2,-1,-1,2,2,2,2,2,-1,2,2,-2
134,-1,-1,2,-1,-1,2,1,2,2,-1,2,2,2,-2,-2
135,1,1,2,2,2,2,-1,2,2,2,2,2,2,2,2
136,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,-2
137,2,2,-2,-2,2,-1,2,2,2,2,2,2,2,2,-2
138,2,-2,-2,-2,2,-1,2,1,2,2,2,2,-2,-2,2
139,2,2,2,2,2,-2,2,2,2,1,2,2,2,2,2
140,-1,2,2,-1,-2,2,2,2,2,2,2,2,2,2,2
141,2,2,2,-1,2,2,2,2,2,2,2,2,2,-2,2
142,1,1,-1,2,2,2,2,2,2,2,1,2,2,2,1
143,1,2,-2,-2,-2,2,2,2,2,-2,2,2,2,2,2
144,2,2,-2,2,-2,2,-2,2,-2,-2,2,2,2,2,2
145,2,2,2,2,2,2,-2,2,-2,2,1,2,2,2,2
146,2,2,2,-1,2,-1,-1,2,-2,2,2,2,1,2,-2
147,2,2,2,2,2,-1,2,-2,-2,-2,-2,-2,-2,2,2
148,2,2,2,2,2,2,2,2,2,-2,2,-1,-1,2,-1
149,2,2,-2,-1,2,2,2,2,-2,-2,2,-1,2,2,2
150,-2,2,-2,-2,2,2,2,2,2,-2,-2,2,2,-1,-1
151,2,-1,-1,-1,2,2,-2,-2,-2,-2,-1,-1,-1,-1,-1
152,-2,-2,-2,2,2,2,2,-1,-1,2,2,2,2,2,2
153,2,2,2,2,2,2,2,2,1,2,2,2,2,2,-1
154,-2,-2,-2,-1,2,2,1,2,2,2,2,2,2,2,2
155,-2,-2,2,2,2,2,2,2,2,2,1,2,2,1,2
156,-1,-1,2,-1,2,2,2,-1,2,-1,2,2,2,2,2
157,-2,-2,-1,-1,2,-1,-2,-2,2,-1,2,2,2,2,2
158,2,-2,2,2,2,2,2,1,2,2,-1,2,-1,2,1
159,2,-2,-1,-1,-1,-1,2,1,2,2,-1,-1,-1,2,1
160,2,2,-2,-2,2,2,2,2,-2,2,-2,-2,2,-2,-2
161,1,2,2,2,2,1,2,2,-2,-2,2,2,2,2,2
162,-2,2,2,2,2,-1,-1,2,-2,2,1,1,2,1,1
163,2,2,2,2,1,1,-1,2,-2,2,1,1,1,1,1
164,-2,-2,-2,2,2,2,2,2,1,1,2,1,1,2,-1
165,-2,2,1,1,2,-2,-2,2,-2,1,2,2,2,2,2
166,2,2,2,-1,-1,2,2,2,-2,2,2,2,2,2,-1
167,2,2,2,2,2,2,-2,-2,-2,2,2,2,2,2,-1
168,2,1,2,2,2,2,2,2,-2,2,2,2,2,2,-1
169,-2,2,1,2,2,2,2,1,2,2,2,2,2,2,2
170,-2,1,2,2,2,2,2,2,2,2,2,2,-1,-1,2
171,2,2,2,2,2,-2,2,1,1,1,2,2,2,2,-2
172,1,2,2,2,1,1,1,2,2,2,1,-2,2,-2,2
173,2,2,1,2,2,2,2,-1,-1,-2,-2,2,2,2,2
174,2,2,1,2,2,2,2,2,2,2,2,2,-2,1,1
175,2,2,1,1,2,2,-1,2,2,2,2,2,2,2,2
176,-2,2,2,2,2,2,-1,2,-2,-2,2,-2,2,2,2
177,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,2
178,2,2,2,2,2,2,-1,2,-2,-2,-2,-2,-2,-2,2
179,2,2,-1,2,-1,2,-1,2,-2,-2,-2,2,-2,2,2
180,-2,-2,2,-2,2,2,2,-2,2,2,2,2,-1,2,2
181,2,2,2,2,2,-1,2,2,-1,-1,-1,-1,2,2,2
182,2,-2,2,2,2,2,2,-2,2,2,-1,1,2,2,-1
183,2,2,2,2,2,2,2,2,2,-2,2,1,2,2,2
184,-1,-1,-2,2,2,2,2,-1,-1,2,2,1,2,2,2
185,2,2,2,2,2,2,2,2,2,2,2,2,2,1,-1
186,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,-1
187,-2,-2,2,-2,-2,-2,2,2,2,-1,2,2,2,-1,2
188,-2,-2,2,-1,2,2,2,2,2,2,2,2,2,2,2
189,2,-2,2,-1,2,2,2,2,2,2,2,2,-1,2,2
190,-1,-1,-1,1,2,2,2,2,2,2,2,2,2,2,2
191,-1,2,2,1,2,2,-1,2,2,2,1,1,1,2,2
192,2,2,2,2,2,2,2,-1,-2,2,2,2,2,2,2
193,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
194,2,2,2,2,2,2,-1,2,2,2,1,1,2,2,2
195,2,2,2,2,2,2,2,-2,-2,2,2,2,2,2,2
196,2,-2,2,2,2,-1,-2,-2,2,2,2,2,2,-2,-2
197,2,-2,2,2,-1,2,-2,-2,2,2,2,2,2,2,-2
198,-1,2,-2,1,1,2,1,2,2,2,2,-2,2,-2,-2
199,2,-1,2,2,2,2,-1,-1,2,-2,2,2,2,-2,-2
200,2,-2,2,-2,-2,-2,2,-1,2,2,2,-1,-1,2,2
201,2,2,2,2,2,2,2,2,2,-1,2,-1,-1,-1,2
202,2,1,1,2,2,2,2,2,2,-1,-1,2,2,-2,-2
203,2,2,2,2,2,2,2,-2,2,2,-1,2,1,1,2
204,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2
205,-2,-2,-2,2,2,-1,-1,2,2,2,2,2,2,2,2
206,2,2,2,2,2,2,2,-1,2,1,2,2,2,2,2
207,2,2,2,2,-2,-2,-2,-1,-1,2,2,2,2,2,2
208,1,2,2,2,2,-2,2,-2,2,2,2,2,2,2,-2
209,-1,2,2,2,2,-2,2,2,2,2,2,2,2,2,2
210,-2,2,2,2,-2,2,2,2,-2,-2,2,2,2,-2,2
211,2,2,2,-2,-2,2,2,2,2,2,2,-2,-1,-1,2
212,2,2,2,2,2,-2,2,2,1,1,2,2,2,2,-2
213,-2,2,-2,-2,2,2,-2,2,1,2,2,2,2,2,2
214,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
215,2,2,2,1,2,2,2,2,2,2,2,2,2,-2,-1
216,2,2,-1,-1,-2,2,1,2,2,2,2,2,2,2,2
217,2,-2,2,2,2,2,2,2,-2,-1,2,2,2,-1,2
218,-2,-2,1,2,1,2,-2,-2,2,-1,2,2,2,2,-1
219,-2,2,1,2,-2,-2,-2,-1,2,-1,2,2,2,1,-1
220,2,2,2,2,-2,2,2,2,2,2,2,1,2,2,2
221,2,2,-2,2,2,2,-2,2,-2,-2,2,2,2,2,2
222,2,2,2,2,2,-2,-2,-2,2,2,2,2,2,2,2
223,2,2,2,2,-2,-2,2,-1,-1,-1,-2,2,2,2,2
224,2,1,2,2,2,2,2,2,2,-2,2,2,2,2,2
225,1,-2,2,-1,2,-1,2,2,-2,2,2,2,2,2,2
226,2,2,2,2,2,-1,-1,-2,2,1,2,1,1,1,2
227,1,1,2,-1,-1,-1,-1,2,2,2,2,2,2,2,-2
228,2,-2,2,2,2,-1,2,-2,2,2,2,2,1,2,2
229,2,2,2,2,-1,-1,2,-2,2,2,2,2,-2,-2,-1
230,-1,2,2,2,2,-2,2,2,2,2,2,2,-2,-2,2
231,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2
232,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,2
233,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1
234,2,2,1,2,2,2,2,2,2,2,2,2,2,-1,-1
235,2,2,2,2,2,1,2,2,2,2,2,1,2,2,-1
236,1,2,2,2,2,2,2,2,2,2,2,-1,2,-1,-1
237,2,2,2,2,-2,2,-2,2,-2,2,1,2,2,2,2
238,2,2,2,-2,-2,2,2,-2,2,-2,2,2,2,2,-2
239,2,2,2,-2,2,-1,2,-1,2,2,2,-2,-2,-2,2
240,2,2,2,2,-2,2,2,-1,2,-1,-1,2,-2,-2,2
241,2,-1,-1,2,2,2,-1,2,2,2,-2,-2,2,-2,2
242,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2
243,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-1
244,2,2,2,2,2,2,2,-1,-1,-1,2,-2,-2,1,-1
245,2,2,2,-2,2,2,2,2,2,-1,-1,-1,2,2,2
246,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,-1
247,-2,2,-2,2,-1,-1,2,1,2,-2,2,1,1,2,1
248,-1,-1,-1,-1,2,2,2,2,-1,2,2,2,-1,2,2
249,2,2,-2,2,-1,-1,2,-1,2,2,2,2,2,2,-1
250,-2,-2,-2,2,-2,-2,-2,2,2,2,2,2,2,-1,2
251,-2,-2,-2,-2,2,-2,2,-1,2,2,2,2,2,2,-1
252,2,2,2,-2,2,1,-1,2,2,-1,2,2,2,2,-1
253,-1,-1,2,-1,2,2,2,-2,-2,-2,-2,-2,2,1,1
254,2,2,2,2,2,1,-1,2,2,2,2,2,2,-2,2
255,-1,2,2,1,1,2,-1,-1,-1,2,-2,2,2,2,-1
256,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,2
257,2,2,2,2,2,1,2,2,-2,2,2,2,2,2,2
258,2,-1,2,-1,-1,2,-2,2,2,2,1,2,1,2,2
259,-1,2,2,2,2,2,2,-1,2,-2,1,2,1,1,2
260,2,2,1,2,2,2,-2,2,-2,2,2,-2,2,2,2
261,-2,-2,-2,-2,2,2,2,2,2,2,2,-2,-2,-2,-1
262,2,-1,-2,-2,-2,2,2,2,2,-1,2,2,2,2,2
263,2,2,2,2,-2,2,2,-1,2,-1,2,-1,2,-1,-1
264,-2,2,2,2,2,2,1,-2,2,-1,2,-1,2,2,2
265,2,-2,2,2,2,2,2,2,2,-2,2,-1,2,2,2
266,2,-2,2,1,2,1,2,2,1,2,2,2,2,2,-1
267,-2,-2,-2,2,-1,-1,2,1,1,2,2,2,2,-1,2
268,2,-2,2,-2,2,2,2,2,2,-2,2,2,2,2,-1
269,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-1,-2,-2
270,-2,-2,2,-2,2,-1,-1,-1,2,-2,2,2,2,2,2
271,2,2,2,2,-1,-1,2,2,2,-1,-2,2,2,2,2
272,2,2,2,2,2,-1,2,2,2,-1,-1,2,2,-1,2
273,2,2,-2,2,-1,-1,-1,2,-2,-2,-2,-2,-2,-2,2
274,2,2,1,1,2,2,-2,-2,2,2,2,2,-2,2,2
275,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2
276,-1,2,2,2,1,2,2,2,-2,2,-2,-2,2,-1,-1
277,2,2,2,-2,2,2,2,2,2,-2,-2,2,-1,2,-2
278,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,2
279,2,2,-1,-2,-2,2,2,2,2,2,-1,-1,2,-1,2
280,-2,2,2,2,-2,-2,-1,-2,2,2,-1,-1,2,-1,2
281,-2,2,-2,2,-1,1,1,1,2,2,2,2,-1,2,2
282,2,1,1,2,2,2,2,2,2,-1,-2,-2,2,2,-2
283,1,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
284,1,2,-2,-2,-2,2,2,2,2,2,2,1,1,2,2
285,2,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
286,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
287,2,2,-2,2,-1,-1,2,-1,-1,-1,2,2,2,2,2
288,2,2,-1,2,-1,-1,2,-1,2,2,2,-2,2,2,2
289,-2,2,2,2,2,-2,2,2,-1,2,2,-2,-2,2,2
290,-1,2,2,1,1,1,2,-2,-2,-2,2,1,1,2,2
291,2,-2,2,2,2,2,2,2,-2,2,2,1,2,2,2
292,2,2,2,2,2,2,-1,2,-2,2,2,2,1,2,-1
293,-1,2,-1,-1,2,2,2,2,2,2,2,2,2,-1,2
294,2,-1,-1,-1,2,2,-1,2,-2,2,2,2,2,-1,-1
295,2,2,2,-2,2,-2,2,2,2,2,2,-1,2,-1,-1
296,-2,2,1,1,1,2,2,2,2,2,2,2,2,2,-1
297,2,-2,2,-2,-2,2,2,2,2,2,2,1,1,2,-1
298,-2,-2,2,2,2,2,1,2,2,2,2,-2,-2,2,-2
299,-2,2,2,2,2,2,2,-1,2,2,2,2,2,2,-1
300,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,2
301,2,2,1,2,2,2,2,2,2,2,-1,-1,2,2,2
302,2,2,2,2,2,2,2,-1,2,2,2,2,2,2,2
303,2,-2,2,2,2,-1,-1,2,2,1,1,-2,2,-1,2
304,2,2,2,2,2,2,-1,2,-2,-2,2,2,2,2,2
305,2,2,2,2,2,-2,-2,2,2,2,-1,-1,-1,2,-2
306,2,2,2,2,2,-1,-1,2,-1,-1,2,-1,2,2,-1
307,2,2,-1,2,-1,2,2,2,2,2,2,2,2,-1,2
308,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2
309,2,-2,1,1,2,2,-1,2,2,2,2,1,-2,2,2
310,2,2,1,1,2,1,2,2,2,2,2,-1,2,2,-2
311,2,-2,-2,-2,2,2,2,2,2,2,2,-1,2,-2,2
312,-2,-2,-2,2,-2,-2,-2,2,2,2,2,2,-1,2,2
313,2,2,-1,2,-1,2,2,-2,2,2,2,2,-2,2,2
314,-1,-1,-1,-1,2,-2,2,2,2,2,2,2,2,2,-1
315,2,2,2,2,2,-1,2,2,2,2,-2,2,-2,-2,-2
316,-1,2,2,1,2,-1,-1,2,-1,-1,2,-2,-2,-2,2
317,2,2,2,1,-1,2,2,-1,2,2,2,2,2,2,-1
318,2,2,2,-2,2,2,-2,2,-1,2,2,1,2,2,-1
319,2,2,2,-1,-1,-2,-2,2,-2,-2,2,2,1,2,-1
320,2,2,2,-1,-2,-2,2,-1,2,2,-1,-1,2,2,2
321,-1,-1,2,-2,-2,-1,-1,2,-2,-2,2,-2,2,2,-1
322,2,1,2,2,-2,-2,-2,2,2,-1,2,2,-2,-2,-2
323,-2,2,2,-2,2,-1,-1,-1,2,-2,2,2,-1,-1,2
324,2,1,1,2,2,2,2,2,-1,2,-2,-2,-2,2,2
325,2,2,2,2,2,2,2,2,2,-1,2,-2,2,2,2
326,2,2,2,-1,2,2,2,-1,-1,-1,2,2,2,2,2
327,2,2,2,2,2,2,-2,2,2,2,-1,-1,-1,2,-1
328,-1,2,2,-1,2,-1,2,2,2,-1,-1,2,2,2,-1
329,-1,-1,2,-1,2,2,2,2,1,2,-2,2,2,2,-2
330,2,-1,-1,-1,2,-2,-2,-1,2,-2,-2,-2,-2,-2,2
331,2,-2,-2,2,2,2,2,2,-2,2,1,2,2,2,-1
332,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2
333,2,2,2,-2,2,1,2,2,1,2,2,2,-2,-2,1
334,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2
335,2,2,2,2,2,2,2,1,2,2,2,2,-1,2,2
336,2,-1,2,2,2,-1,-1,-1,2,2,2,-1,-2,-2,2
337,2,2,2,-1,2,2,2,2,2,-1,-1,-1,-1,2,-2
338,2,-1,-1,-2,-2,-2,-2,2,-2,-2,-2,2,2,2,2
339,2,2,2,-1,-1,2,-1,2,2,2,2,2,-2,2,-2
340,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
341,2,2,2,2,-2,-2,-2,2,2,2,2,2,2,1,1
342,-2,-2,-2,2,2,2,-1,2,2,-2,2,2,2,1,2
343,2,-2,2,2,2,2,2,-1,-1,2,-2,2,2,2,-2
344,2,2,2,2,2,2,2,-1,-2,2,2,-2,-2,-2,-2
345,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2
346,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
347,2,2,2,2,2,2,-2,-2,-1,1,2,2,2,2,2
348,2,2,2,2,2,2,2,-2,-1,2,2,2,2,-1,2
349,2,2,2,2,2,2,2,2,2,2,1,1,-1,2,2
350,2,2,2,2,2,2,2,-1,2,-1,2,2,-2,2,2
351,1,2,2,2,1,2,-2,-2,-2,2,2,2,2,2,2
352,2,2,2,2,-2,2,-2,-2,-2,2,2,2,2,2,2
353,-2,2,2,-2,-1,-1,-1,2,2,-2,-2,-2,2,2,-2
354,2,-1,-1,2,-1,2,-1,-1,-2,-2,2,2,2,2,2
355,2,2,2,2,2,2,-1,2,-2,-2,-2,-2,2,2,2
356,2,2,2,-1,2,-2,2,2,2,-2,-1,-1,-1,-2,-2
357,2,2,2,2,-1,-1,-1,-1,-1,2,-1,-1,2,2,-2
358,2,2,-1,2,-1,2,2,2,2,2,-1,2,2,2,2
359,2,1,1,1,2,2,2,-2,2,2,2,-2,2,-2,-2
360,2,2,2,2,2,-2,2,-2,-2,1,2,2,2,-2,-2
361,-1,2,2,-2,2,2,-2,-2,2,2,2,2,2,2,-2
362,-2,2,-1,2,2,2,1,2,2,2,2,2,1,2,-2
363,2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,2
364,-1,-1,-1,-1,2,2,2,2,2,-2,2,-1,2,-1,2
365,-1,-1,-1,-1,-2,2,2,2,1,2,2,2,2,2,-1
366,2,2,-1,2,2,2,2,2,2,1,2,1,2,2,2
367,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-1,2,-2,2,2
368,2,2,2,2,2,2,-2,-2,-1,2,2,2,2,2,2
369,2,-2,-2,2,1,2,-2,2,-1,2,-1,2,2,2,2
370,2,2,2,2,2,2,-2,-2,-2,-2,-1,2,2,2,2
371,2,-1,1,2,2,2,-2,2,-2,2,-1,-1,2,2,2
372,-1,2,2,2,2,2,2,2,-2,-2,2,-1,2,-1,2
373,-1,-1,2,1,2,1,2,2,2,-2,2,2,2,-1,2
374,-1,-1,1,1,2,2,2,2,2,2,2,2,2,-1,-1
375,-1,-1,-1,2,-1,2,-1,-1,-1,2,2,2,2,-2,2
376,-1,-1,-2,2,-2,2,2,2,-2,2,-2,-2,-2,-2,-2
377,-2,2,2,-2,-2,2,-2,2,2,2,2,2,2,1,-2
378,-2,2,2,2,2,2,2,2,2,-2,2,2,2,2,-2
379,2,2,2,-1,2,2,2,2,-1,-2,-2,2,2,2,-2
380,-2,2,2,2,2,-1,-1,2,-1,-1,2,2,1,2,2
381,2,-2,2,2,2,2,2,2,-1,-1,2,2,2,2,2
382,2,-2,-1,-2,2,-1,-1,2,2,2,2,2,-1,1,2
383,-2,2,2,2,-2,-2,-2,2,2,2,2,2,2,2,2
384,-2,2,2,-2,2,2,-2,2,-1,2,-1,2,2,1,2
